,Time,Location,Team,xRuns,Pitcher,Status,RunScored,Probability,FairOdds,DraftKings,DraftKingsEV,BetOnline,BetOnlineEV,Bovada,BovadaEv,Bet365,Bet365EV,Fanduel,FanduelEV,BetMGM,BetMGMEV,Fliff,FliffEV,HardRock,HardRockEV,Caesars,CaesarsEv,Betfred,BetfredEV,Kambi,KambiEV,Bookmaker,BookmakerEV,WynnBet,WynnBetEV,Bet99,Bet99EV,Superbook,SuperbookEV
0,6:10 PM,A,COL,0.536,Austin Gomber,Confirmed,YES,57.42%,-135.0,-105.0,12.16%,-106.0,11.64%,-105.0,12.16%,-115.0,7.40%,-102.0,13.77%,100.0,14.89%,-105.0,12.16%,100.0,14.89%,-105.0,12.16%,-105.0,12.16%,-106.0,11.64%,,#DIV/0!,100.0,14.89%,-115.0,7.40%,-110.0,9.67%
1,,H,CLE,0.517,Cal Quantrill,Confirmed,NO,42.58%,135.0,-125.0,-23.40%,-127.0,-23.94%,-125.0,-23.40%,-115.0,-20.44%,-125.0,-23.40%,-125.0,-23.40%,-125.0,-23.40%,-125.0,-23.40%,-125.0,-23.40%,-125.0,-23.40%,-125.0,-23.40%,,#DIV/0!,-120.0,-21.99%,-115.0,-20.44%,-110.0,-18.76%
2,6:35 PM,A,BOS,0.528,Chris Sale,Confirmed,YES,51.54%,-106.0,-105.0,0.46%,104.0,4.97%,-110.0,-1.77%,-105.0,0.46%,104.0,4.97%,105.0,5.49%,100.0,2.91%,-105.0,0.46%,-110.0,-1.77%,-110.0,-1.77%,102.0,3.94%,,#DIV/0!,-105.0,0.46%,100.0,2.91%,-105.0,0.46%
3,,H,BAL,0.363,Dean Kremer,Confirmed,NO,48.46%,106.0,-125.0,-12.62%,-139.0,-16.53%,-120.0,-11.00%,-125.0,-12.62%,-132.0,-14.68%,-135.0,-15.50%,-130.0,-14.12%,-120.0,-11.00%,-120.0,-11.00%,-120.0,-11.00%,-129.0,-13.83%,,#DIV/0!,-115.0,-9.24%,-130.0,-14.12%,-115.0,-9.24%
4,6:40 PM,A,HOU,0.205,Jose Urquidy,Confirmed,YES,48.00%,108.0,100.0,-3.85%,-104.0,-5.70%,-110.0,-8.22%,-115.0,-10.12%,-113.0,-9.38%,100.0,-3.85%,-105.0,-6.14%,-115.0,-10.12%,-120.0,-11.86%,-110.0,-8.22%,-112.0,-9.00%,,#DIV/0!,-105.0,-6.14%,-130.0,-14.94%,-120.0,-11.86%
5,,H,TB,0.601,Taj Bradley,Confirmed,NO,52.00%,-108.0,-130.0,-8.14%,-129.0,-7.83%,-120.0,-4.81%,-115.0,-2.93%,-113.0,-2.13%,-125.0,-6.54%,-125.0,-6.54%,-115.0,-2.93%,-110.0,-0.87%,-120.0,-4.81%,-114.0,-2.53%,,#DIV/0!,-115.0,-2.93%,-105.0,1.37%,100.0,3.85%
6,6:40 PM,A,TEX,0.326,Nathan Eovaldi,Confirmed,YES,44.62%,124.0,-110.0,-14.77%,104.0,-8.93%,-110.0,-14.77%,-115.0,-16.54%,-111.0,-15.14%,-105.0,-12.84%,-105.0,-12.84%,-110.0,-14.77%,-110.0,-14.77%,-110.0,-14.77%,,,,#DIV/0!,-105.0,-12.84%,-125.0,-19.64%,-110.0,-14.77%
7,,H,CIN,0.397,Nick Lodolo,Confirmed,NO,55.38%,-124.0,-120.0,1.49%,-139.0,-4.82%,-120.0,1.49%,-120.0,1.49%,-120.0,1.49%,-120.0,1.49%,-125.0,-0.36%,-125.0,-0.36%,-115.0,3.49%,-120.0,1.49%,,,,#DIV/0!,-115.0,3.49%,-105.0,8.08%,-110.0,5.68%
8,7:07 PM,A,CWS,0.538,Lance Lynn,Confirmed,YES,53.14%,-113.0,-125.0,-4.51%,-112.0,0.42%,-125.0,-4.51%,-140.0,-9.05%,-128.0,-5.50%,-120.0,-2.74%,-115.0,-0.82%,-125.0,-4.51%,-115.0,-0.82%,-120.0,-2.74%,-118.0,-1.99%,,#DIV/0!,-115.0,-0.82%,-130.0,-6.14%,-120.0,-2.74%
9,,H,TOR,0.395,Chris Bassitt,Confirmed,NO,46.86%,113.0,100.0,-6.10%,-120.0,-13.93%,-105.0,-8.34%,110.0,-1.41%,100.0,-6.10%,-105.0,-8.34%,-115.0,-12.23%,100.0,-6.10%,-115.0,-12.23%,-110.0,-10.37%,-108.0,-9.58%,,#DIV/0!,-105.0,-8.34%,-105.0,-8.34%,100.0,-6.10%
10,7:20 PM,A,MIA,0.163,Edward Cabrera,Confirmed,YES,38.19%,162.0,105.0,-21.76%,104.0,-22.14%,100.0,-23.66%,-115.0,-28.64%,102.0,-22.90%,105.0,-21.76%,-105.0,-25.48%,105.0,-21.76%,-110.0,-27.13%,100.0,-23.66%,100.0,-23.66%,,#DIV/0!,105.0,-21.76%,100.0,-23.66%,-115.0,-28.64%
11,,H,ATL,0.426,Spencer Strider,Confirmed,NO,61.81%,-162.0,-135.0,7.63%,-129.0,9.76%,-130.0,9.40%,-115.0,15.60%,-130.0,9.40%,-135.0,7.63%,-130.0,9.40%,-130.0,9.40%,-120.0,13.36%,-130.0,9.40%,-127.0,10.52%,,#DIV/0!,-125.0,11.30%,-135.0,7.63%,-105.0,20.72%
12,7:40 PM,A,DET,0.543,Matthew Boyd,Confirmed,YES,54.81%,-121.0,-110.0,4.52%,-114.0,2.78%,-110.0,4.52%,-125.0,-1.45%,-106.0,6.40%,-105.0,6.90%,-115.0,2.36%,-105.0,6.90%,-115.0,2.36%,-110.0,4.52%,-113.0,3.20%,,#DIV/0!,-105.0,6.90%,-120.0,0.38%,-110.0,4.52%
13,,H,MIL,0.436,Colin Rea,Confirmed,NO,45.19%,121.0,-125.0,-18.55%,-117.0,-16.08%,-120.0,-17.04%,-105.0,-11.66%,-120.0,-17.04%,-120.0,-17.04%,-115.0,-15.40%,-125.0,-18.55%,-115.0,-15.40%,-120.0,-17.04%,-113.0,-14.71%,,#DIV/0!,-115.0,-15.40%,-110.0,-13.62%,-110.0,-13.62%
14,7:40 PM,A,NYY,0.437,Jhony Brito,Confirmed,YES,65.43%,-189.0,100.0,30.80%,100.0,30.80%,100.0,30.80%,-115.0,22.27%,104.0,33.41%,100.0,30.80%,100.0,30.80%,100.0,30.80%,-105.0,27.68%,100.0,30.80%,-105.0,27.68%,,#DIV/0!,105.0,34.07%,-115.0,22.27%,-110.0,24.85%
15,,H,MIN,0.886,Sonny Gray,Confirmed,NO,34.57%,189.0,-125.0,-37.72%,-134.0,-39.58%,-130.0,-38.78%,-115.0,-35.31%,-132.0,-39.18%,-135.0,-39.77%,-130.0,-38.78%,-130.0,-38.78%,-125.0,-37.72%,-130.0,-38.78%,-122.0,-37.04%,,#DIV/0!,-125.0,-37.72%,-115.0,-35.31%,-110.0,-33.94%
16,9:38 PM,A,OAK,0.533,Ken Waldichuk,Expected,YES,57.16%,-133.0,-145.0,-3.55%,-127.0,2.03%,-145.0,-3.55%,-155.0,-6.09%,-148.0,-4.35%,-145.0,-3.55%,-130.0,0.99%,-140.0,-2.15%,-140.0,-2.15%,-135.0,-0.64%,-129.0,1.33%,,#DIV/0!,-130.0,0.99%,-140.0,-2.15%,,
17,,H,LAA,0.513,Jose Suarez,Confirmed,NO,42.84%,133.0,110.0,-9.87%,-106.0,-16.59%,110.0,-9.87%,125.0,-3.43%,116.0,-7.30%,110.0,-9.87%,100.0,-14.16%,115.0,-7.73%,115.0,-7.73%,105.0,-12.02%,102.0,-13.30%,,#DIV/0!,110.0,-9.87%,105.0,-12.02%,,
18,9:40 PM,A,KC,0.487,Brad Keller,Expected,YES,56.49%,-130.0,-145.0,-4.50%,-127.0,1.03%,-145.0,-4.50%,,,-148.0,-5.29%,-135.0,-1.61%,-135.0,-1.61%,-140.0,-3.11%,-140.0,-3.11%,-150.0,-5.80%,-141.0,-3.39%,,#DIV/0!,-140.0,-3.11%,-150.0,-5.80%,,
19,,H,ARI,0.539,Tommy Henry,Expected,NO,43.51%,130.0,110.0,-8.70%,-106.0,-15.50%,110.0,-8.70%,,,116.0,-6.09%,105.0,-10.87%,100.0,-13.04%,110.0,-8.70%,110.0,-8.70%,115.0,-6.52%,112.0,-7.83%,,#DIV/0!,120.0,-4.35%,110.0,-8.70%,,
20,9:45 PM,A,STL,0.293,Jordan Montgomery,Expected,YES,46.11%,117.0,105.0,-5.53%,104.0,-5.99%,110.0,-3.23%,-110.0,-12.02%,102.0,-6.91%,105.0,-5.53%,-105.0,-10.03%,105.0,-5.53%,-105.0,-10.03%,105.0,-5.53%,106.0,-5.07%,,#DIV/0!,110.0,-3.23%,-115.0,-13.84%,,
21,,H,SF,0.465,Alex Cobb,Expected,NO,53.89%,-117.0,-140.0,-7.57%,-139.0,-7.29%,-145.0,-8.90%,-120.0,-1.15%,-130.0,-4.61%,-135.0,-6.14%,-125.0,-2.95%,-135.0,-6.14%,-125.0,-2.95%,-135.0,-6.14%,-139.0,-7.29%,,#DIV/0!,-130.0,-4.61%,-120.0,-1.15%,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
